epoch,training_loss,val_loss
0,0.01316320852492936,0.03933507576584816
1,0.0026690493541536853,
2,0.0015241428845911287,
3,0.0011359312084096018,
4,0.0008707167398824822,
5,0.000829363150842255,0.042602693662047386
6,0.0008335794627782889,
7,0.0006733070622431114,
8,0.0006528379872179357,
9,0.0006817881148890592,
10,0.0005088017114758259,0.04291108064353466
11,0.0006009548742440529,
12,0.0005595735601673368,
13,0.0006179740958032198,
14,0.0005160552136658225,
15,0.0005357415502658114,0.04113001562654972
16,0.0004569200209516566,
17,0.0006088986756367376,
18,0.0006051689997548237,
19,0.00046879426554369275,
20,0.0005269440207484877,0.040832942351698875
21,0.0003769515624298947,
22,0.0003798514080699533,
23,0.0003391220270714257,
24,0.00048303019866580144,
25,0.0004479556973819854,0.04384041018784046
26,0.0005472911489050603,
27,0.00048448504639964085,
28,0.0005148821801412851,
29,0.00035885980469174683,
30,0.0004118382403248688,0.04018130153417587
31,0.00040934885964816203,
32,0.00042495531306485645,
33,0.00040796661687636515,
34,0.0003906660967913922,
35,0.0003825631729341694,0.04149830713868141
36,0.0002880743222704041,
37,0.0005174649631953798,
38,0.000328502120282792,
39,0.0003965497326134937,
40,0.00034701711956586223,0.0419797170907259
41,0.00035530458899302175,
42,0.00029092129716445925,
43,0.00047021503723954083,
44,0.0003182643185937195,
45,0.00036198807538312394,0.04063333384692669
46,0.0004560219567792956,
47,0.0003764621833397541,
48,0.0003311647415102925,
49,0.00037909316870354814,0.04301748797297478
