epoch,training_combined_loss,training_colorization_loss,training_style_loss,validation_combined_loss,validation_colorization_loss,validation_style_loss
0,0.7036185775484357,1.407206450189863,3.0707738655369864e-05,0.5570360898971558,1.1139874696731566,8.47260387672577e-05
1,0.4871274403163365,0.9741438542093549,0.00011104320167630379,,,
2,0.364422755581992,0.7281307663236346,0.0007147435265194092,,,
3,0.3066627085208893,0.6114330036299569,0.0018924118152686528,,,
4,0.2873804569244385,0.5735175481864384,0.0012433531270029821,,,
5,0.2575277302946363,0.5148168759686607,0.00023858632734378,0.25560891181230544,0.5109075844287873,0.0003102410439169034
6,0.22988340045724595,0.4595090278557369,0.000257772315567958,,,
7,0.21563708782196045,0.43109054224831717,0.00018364142826093094,,,
8,0.2029049332652773,0.40568200605256216,0.00012785887884092517,,,
9,0.20156716448920114,0.40306240745953154,7.192382950701617e-05,0.2188784286379814,0.4376299768686295,0.00012688320930465125
