epoch,training_combined_loss,training_colorization_loss,training_style_loss,validation_combined_loss,validation_colorization_loss,validation_style_loss
0,0.0,1.50660902261734,9.154717038957946e-06,1.1290154457092285,1.6128768920898438,5.7190359257219825e-06
1,0.0,1.168241262435913,4.959090195673828e-06,,,
2,0.0,0.9343640506267548,4.793152167318719e-06,,,
3,0.0,0.7929141223430634,6.921304551118131e-06,0.7312594056129456,1.0446550846099854,2.7399078135204036e-06
4,0.0,0.6953978637854258,4.159506602263718e-06,,,
5,0.0,0.6340279877185822,9.095639825318358e-06,,,
6,0.0,0.5954609215259552,4.641351324607967e-06,0.6859641671180725,0.9799476265907288,2.8126528377470095e-06
7,0.0,0.560691033800443,3.43936274778874e-06,,,
8,0.0,0.541564812262853,2.7449603976492654e-06,,,
9,0.0,0.5197459558645884,2.19175484517109e-06,0.6934427618980408,0.9906321167945862,1.066396976057149e-06
10,0.0,0.505393256743749,1.1535067111860069e-06,,,
11,0.0,0.4946151375770569,1.2824287220306967e-06,,,
12,0.0,0.4870881140232086,1.5374175840558262e-06,0.6735169291496277,0.9621661901473999,2.017226506723091e-06
13,0.0,0.47508130967617035,1.9991794223036172e-06,,,
14,0.0,0.47122587263584137,1.1849565453303512e-06,0.6847550272941589,0.9782212376594543,6.846036058050231e-07
