epoch,training_loss,validation_loss
0,0.36201308289079254,0.19974969808132417
1,0.1731979173013264,
2,0.14905951448060847,
3,0.13439387806810443,
4,0.1278782838506502,
5,0.11997412774249515,0.11309552601268215
6,0.11443135144262828,
7,0.11086768677786157,
8,0.1085004432512964,
9,0.10648493237352898,
10,0.10480743778059821,0.10307864748662518
11,0.1032670021245935,
12,0.10202666789370748,
13,0.10076066709285127,
14,0.09981464537718684,
15,0.09873594106202237,0.09707427505523927
16,0.09769770546977864,
17,0.09692761391072091,
18,0.09586765816225837,
19,0.0951904645558783,
20,0.09445727902057303,0.09160205265206675
21,0.09386845354942086,
22,0.09319524542029761,
23,0.09286611483391807,
24,0.09204435665971315,
25,0.09160033955472952,0.09188645429188205
26,0.09088992378284128,
27,0.09042679687539543,
28,0.08972565811115321,
29,0.08921011901854539,
30,0.08850840935417009,0.08898172070903163
31,0.08782701590416143,
32,0.08733741255855894,
33,0.08693598423218518,
34,0.08628002757992041,
35,0.08597414820776349,0.08689116987009202
